question,answer
What are the admission requirements?,Students need academic certificates CNIC photographs and admission form.
What is the admission deadline?,Admission deadline is available on the university website.
Which programs are offered?,The university offers BS CS BS IT BBA MBA and Engineering programs.
How can I apply for admission?,You can apply online through the admission portal.
What documents are required for admission?,Students need matric intermediate certificates CNIC and photographs.
Is there any entry test?,Yes some programs require an entry test.
What is the fee structure?,Fee structure is available on the university website.
Does the university offer scholarships?,Yes merit and need based scholarships are available.
Can international students apply?,Yes international students can apply online.
What is the eligibility for BS Computer Science?,Students need intermediate with required marks.
How can I check admission merit list?,Merit lists are uploaded on the admission portal.
Is hostel facility available?,Yes hostel facility is available for students.
What is the duration of BS programs?,BS programs usually take 4 years.
Can I apply for multiple programs?,Yes students can apply for multiple programs.
What is the minimum percentage required?,Minimum percentage depends on the selected program.
How can I contact admission office?,You can contact through email phone or campus office.
Are evening classes available?,Yes evening classes are available for some programs.
When do classes start?,Class schedule is announced after admissions.
Can I transfer from another university?,Yes transfer cases are accepted according to policy.
Is transport available?,Yes transport facility is available in selected areas.